CATEGORY,NAME,NUMBER,LABEL,BASE RESPONDEN
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ18,2d,Have you ever heard that there was an election of the District Chief/Mayor?,Base : Responden yang pernah mendengar nama lembaga Bupati/Walikota (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ19,3a,"(Presidential Elections) Regardless of whether you have ever voted in a General/Regional Election or not, in your opinion how important is it that each of the elections below is held?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ20,3b,"(DPRD Election (National DPR, Provincial DPRD, District DPRD)) Regardless of whether you have ever voted in a General/Regional Election or not, in your opinion how important is it that each of the elections below is held?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ21,3c,"(DPD Election) Regardless of whether you have ever voted in a General/Regional Election or not, in your opinion how important is it that each of the elections below is held?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ22,3d,"(Gubernatorial Election) Regardless of whether you have ever voted in a General/Regional Election or not, in your opinion how important is it that each of the elections below is held?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ23,3e,"(District/Mayoral Election) Regardless of whether you have ever voted in a General/Regional Election or not, in your opinion how important is it that each of the elections below is held?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ24,4a,(You will continue to participate in the general/regional elections  although there is no candidate or political party who meets your criteria.) Please indicate your level of agreement or disagreement with this statement,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ25,4b,"(If you participated in general/regional elections, it would affect the result of the elections.) Please indicate your level of agreement or disagreement with this statement",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ26,4c,"(It is fine with you not to participate in general/regional elections, because you have been represented by many other people.) Please indicate your level of agreement or disagreement with this statement",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMQ27,4d,(I will feel aggrieved if I do not participate in general election/regional election.) Please indicate your level of agreement or disagreement with this statement,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ29_BASE,6,"Do you know, or not, whether in 2014, elections will be held, or not?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ29_NEW,5,"Did you know, or not, that in 2014, elections were held, or not?",Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30a_BASE,7a,"In your understanding, what type of elections will take place in 2014? (Who is up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30b_BASE,7b,"In your understanding, what type of elections will take place in 2014? (Who is up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30c_BASE,7c,"In your understanding, what type of elections will take place in 2014? (Who is up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30d_BASE,7d,"In your understanding, what type of elections will take place in 2014? (Who is up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30e_BASE,7e,"In your understanding, what type of elections will take place in 2014? (Who is up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30a_NEW,6a,"In your understanding, what type of elections took place in 2014? (Who was up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30b_NEW,6b,"In your understanding, what type of elections took place in 2014? (Who was up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30c_NEW,6c,"In your understanding, what type of elections took place in 2014? (Who was up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA30d_NEW,6d,"In your understanding, what type of elections took place in 2014? (Who was up for election in 2014?)",Base : Responden yang paham adanya Pemilu 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ31_BASE,8,Will you participate in Presidential Election on July 2014?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32a_BASE,9a,What is the reason that you will or will not participate in the Presidential Election in July 2014?,Base : Responden yang ingin mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32b_BASE,9b,What is the reason that you will or will not participate in the Presidential Election in July 2014?,Base : Responden yang ingin mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32c_BASE,9c,What is the reason that you will or will not participate in the Presidential Election in July 2014?,Base : Responden yang ingin mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32d_BASE,9d,What is the reason that you will or will not participate in the Presidential Election in July 2014?,Base : Responden yang ingin mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32a_NEW,8a,What is the reason that you did or did not participate in the Presidential Election in July 2014?,Base : Responden yang mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32b_NEW,8b,What is the reason that you did or did not participate in the Presidential Election in July 2014?,Base : Responden yang mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA32c_NEW,8c,What is the reason that you did or did not participate in the Presidential Election in July 2014?,Base : Responden yang mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ33_BASE,10,Will you participate in the Legislative Elections in April 2014?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ33_NEW,11,Did you participate in the Legislative Elections in April 2014?,Base : Semua responden (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34a_Base,11a,"What is the reason that you will or will not participate in the Legislative Elections in April 2014?","Base : Responden yang ingin mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34b_Base,11b,"What is the reason that you will or will not participate in the Legislative Elections in April 2014?","Base : Responden yang ingin mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34c_Base,11c,"What is the reason that you will or will not participate in the Legislative Elections in April 2014?","Base : Responden yang ingin mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34d_Base,11d,"What is the reason that you will or will not participate in the Legislative Elections in April 2014?","Base : Responden yang ingin mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34a_NEW,12a,What is the reason that you did or did not participate in the Legislative Elections in April 2014?,"Base : Responden yang mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34b_NEW,12b,What is the reason that you did or did not participate in the Legislative Elections in April 2014?,"Base : Responden yang mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SMA34c_NEW,12c,What is the reason that you did or did not participate in the Legislative Elections in April 2014?,"Base : Responden yang mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ36B_NEW,9,Please indicate the main reason that made you turn down the Presidential Election in July 2014,Base : Responden yang tidak mengikuti Pemilihan Presiden tahun 2014 (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ37B_NEW,10,Why were you unwilling to participate in the Presidential Election in July 2014?,Base : Responden yang tidak mengikuti Pemilihan Presiden tahun 2014 karena alasan MALAS (n : xx)
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ36A_NEW,13,Please indicate the main reason that made you turn down the Legislative Election in April 2014,"Base : Responden yang tidak mengikuti Pemilihan angggota DPR, DPRD atau DPD tahun 2014 (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ37A_NEW,14,Why were you unwilling to participate in the Legislative Election in April 2014?,"Base : Responden yang tidak mengikuti Pemilihan Pemilihan angggota DPR, DPRD atau DPD tahun 2014 karena alasan MALAS (n : xx)"
PERCEPTION OF THE IMPORTANCE OF PARTICIPATING IN THE ELECTION,SSQ28,15,"In your opinion, is participating in the general/regional election a citizen's right or obligation or both?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SSQ41,16,"Have you ever heard of the word ""DEMOCRACY""?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA42a,17a,"Many Indonesians now talk about DEMOCRACY. If a country is said to be a Democratic country, what in your opinion, does it mean?","Base : Responden yang pernah mendengar kata ""Demokrasi"" (n : xx)"
VOTER EDUCATION NEEDS,SMA42b,17b,"Many Indonesians now talk about DEMOCRACY. If a country is said to be a Democratic country, what in your opinion, does it mean?","Base : Responden yang pernah mendengar kata ""Demokrasi"" (n : xx)"
VOTER EDUCATION NEEDS,SMA42c,17c,"Many Indonesians now talk about DEMOCRACY. If a country is said to be a Democratic country, what in your opinion, does it mean?","Base : Responden yang pernah mendengar kata ""Demokrasi"" (n : xx)"
VOTER EDUCATION NEEDS,SMA42d,17d,"Many Indonesians now talk about DEMOCRACY. If a country is said to be a Democratic country, what in your opinion, does it mean?","Base : Responden yang pernah mendengar kata ""Demokrasi"" (n : xx)"
VOTER EDUCATION NEEDS,SSQ43,18,"(Compared to other forms of governance, DEMOCRACY is the best form of governance for a Country like Indonesia) Please indicate your level of agreement or disagreement with this statement","Base : Responden yang pernah mendengar kata ""Demokrasi"" (n : xx)"
VOTER EDUCATION NEEDS,SSQ44,19,"In your opinion, does the General Election have anything to do with the system of DEMOCRACY, or not?","Base : Responden yang pernah mendengar kata ""Demokrasi"" (n : xx)"
VOTER EDUCATION NEEDS,SMA45a,20a,"In your opinion, does the General Election have anything to do with the system of DEMOCRACY, or not?",Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA45b,20b,"In your opinion, does the General Election have anything to do with the system of DEMOCRACY, or not?",Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA45c,20c,"In your opinion, does the General Election have anything to do with the system of DEMOCRACY, or not?",Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA45d,20d,"In your opinion, does the General Election have anything to do with the system of DEMOCRACY, or not?",Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46a,21a,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46b,21b,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46c,21c,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46d,21d,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46e,21e,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46f,21f,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46g,21g,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46h,21h,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA46i,21i,From where did you obtain the information that Elections are related to a system of DEMOCRACY?,Base : Responden yang menyatakan bahwa Pemilu ada hubungannya dengan sistem Demokrasi (n : xx)
VOTER EDUCATION NEEDS,SMA47a_BASE,21a,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47b_BASE,21b,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47c_BASE,21c,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47d_BASE,21d,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47e_BASE,21e,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47f_BASE,21f,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47g_BASE,21g,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47h_BASE,21h,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA47i_BASE,21i,"What are the criteria to be considered in selecting candidates for President?",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47a_NEW,22a,"(Rank 1) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47b_NEW,22b,"(Rank 2) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47c_NEW,22c,"(Rank 3) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47d_NEW,22d,"(Rank 4) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47e_NEW,22e,"(Rank 5) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47f_NEW,22f,"(Rank 6) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47g_NEW,22g,"(Rank 7) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47h_NEW,22h,"(Rank 8) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47i_NEW,22i,"(Rank 9) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMQ47j_NEW,22j,"(Rank 10) I will show you 10 statements related to criteria generally used as consideration in choosing a PRESIDENTIAL candidate. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Semua responden (n : xx)
VOTER EDUCATION NEEDS,SMA48a_BASE,22a,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48b_BASE,22b,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48c_BASE,22c,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48d_BASE,22d,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48e_BASE,22e,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48f_BASE,22f,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48g_BASE,22g,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA48h_BASE,22h,"What criteria should be considered in selecting candidates for the DPR/DPRD/DPD?",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48a_NEW,23a,"(Rank 1) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48b_NEW,23b,"(Rank 2) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48c_NEW,23c,"(Rank 3) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48d_NEW,23d,"(Rank 4) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48e_NEW,23e,"(Rank 5) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48f_NEW,23f,"(Rank 6) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48g_NEW,23g,"(Rank 7) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48h_NEW,23h,"(Rank 8) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48i_NEW,23i,"(Rank 9) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMQ48j_NEW,23j,"(Rank 10) I will show you 10 statements related to criteria generally used as consideration in choosing a candidate for MEMBER OF DPR/DPRD/DPD. Please give your ranking to all of the 10 criteria, where ranking 1 is for a criteria that you feel most important up to ranking 10 for a criteria you feel is least important.",Base : Responden yang pernah mendengar nama lembaga DPR/DPRD atau DPD (n : xx)
VOTER EDUCATION NEEDS,SMA49a_BASE,23a,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49b_BASE,23b,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49c_BASE,23c,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49d_BASE,23d,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49e_BASE,23e,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49f_BASE,23f,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49g_BASE,23g,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
VOTER EDUCATION NEEDS,SMA49h_BASE,23h,"What criteria should be considered in selecting candidates for GOVERNOR/MAYOR/DISTRICT CHIEF?",Base : Responden yang pernah mendengar nama lembaga Gubernur atau Bupati/Walikota (n : xx)
